                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.55155,                0.41964,                0.82964,                0.98146,                0.99432,                0.98789,                0.87213,                0.55849,                0.36651,                0.83712,             0.00085141,             0.00085141,             0.00085141
                     67,                0.54602,                0.40172,                0.82743,                 0.9813,                      1,                0.99164,                0.87622,                0.55545,                0.36026,                0.82913,             0.00085051,             0.00085051,             0.00085051
                     68,                0.53932,                0.39589,                0.82865,                0.98762,                 0.9947,                0.99129,                0.88279,                0.52971,                0.34881,                0.82624,             0.00084961,             0.00084961,             0.00084961
                     69,                0.53755,                0.40177,                0.85448,                0.98756,                0.99665,                0.99464,                0.89314,                0.54006,                0.34622,                0.83196,             0.00084871,             0.00084871,             0.00084871
                     70,                0.55425,                0.39613,                0.83186,                0.98392,                 0.9991,                 0.9935,                0.88124,                0.55599,                0.35819,                0.83129,             0.00084781,             0.00084781,             0.00084781
                     71,                0.55628,                0.39668,                0.82268,                0.97893,                 0.9977,                0.99014,                0.88654,                0.53631,                0.34417,                0.82533,             0.00084691,             0.00084691,             0.00084691
                     72,                0.54118,                0.39468,                 0.8262,                0.98622,                0.99068,                0.99429,                0.89372,                0.52035,                0.33901,                0.82074,             0.00084601,             0.00084601,             0.00084601
                     73,                0.54998,                 0.3844,                0.83485,                0.98704,                0.99351,                  0.995,                0.89135,                0.50728,                0.33379,                0.81587,             0.00084511,             0.00084511,             0.00084511
                     74,                0.53604,                 0.3795,                0.83055,                0.98486,                0.99067,                0.99279,                0.89479,                0.52747,                  0.356,                 0.8188,             0.00084421,             0.00084421,             0.00084421
                     75,                0.53508,                0.38111,                0.83287,                0.98099,                0.99301,                  0.995,                0.88806,                0.53582,                0.33806,                0.81845,             0.00084331,             0.00084331,             0.00084331
                     76,                0.55122,                0.39384,                0.82847,                0.98583,                0.99727,                0.99464,                0.88735,                 0.5235,                0.33081,                0.82187,             0.00084241,             0.00084241,             0.00084241
                     77,                 0.5346,                0.37769,                0.82203,                0.98267,                0.99567,                0.99014,                0.88672,                0.51947,                0.33525,                0.82249,             0.00084151,             0.00084151,             0.00084151
                     78,                0.55245,                0.39416,                0.82145,                0.98584,                0.99369,                0.98979,                0.87991,                0.53399,                 0.3491,                0.82825,             0.00084061,             0.00084061,             0.00084061
                     79,                0.52331,                0.39975,                0.83558,                0.98769,                0.99465,                0.98979,                0.88368,                0.52108,                0.33621,                0.81947,             0.00083971,             0.00083971,             0.00083971
                     80,                0.53014,                0.37775,                0.82285,                0.98403,                0.99478,                 0.9935,                0.89356,                0.53253,                0.33983,                0.82113,             0.00083881,             0.00083881,             0.00083881
                     81,                0.52343,                0.36449,                0.83184,                0.98609,                0.99482,                0.99129,                0.88438,                0.51669,                0.32645,                0.81852,             0.00083791,             0.00083791,             0.00083791
                     82,                 0.5228,                0.37441,                 0.8241,                0.97745,                0.99653,                0.99464,                0.88294,                0.52226,                0.33349,                 0.8186,             0.00083701,             0.00083701,             0.00083701
                     83,                0.52744,                0.37191,                0.82736,                0.98529,                0.99422,                0.99464,                0.88509,                0.53368,                0.33995,                0.82355,             0.00083611,             0.00083611,             0.00083611
                     84,                0.53459,                0.37773,                0.82736,                0.98545,                0.99363,                0.99129,                0.87898,                0.53967,                0.34045,                0.82437,             0.00083521,             0.00083521,             0.00083521
                     85,                0.52584,                0.36394,                0.82464,                0.98676,                0.99869,                  0.992,                0.87902,                0.53759,                 0.3328,                0.82389,             0.00083431,             0.00083431,             0.00083431
                     86,                0.54122,                0.37701,                0.82982,                0.98382,                0.99812,                  0.995,                0.88433,                0.54085,                0.33706,                0.83176,             0.00083341,             0.00083341,             0.00083341
                     87,                0.54221,                0.38649,                0.82938,                0.98776,                      1,                0.99464,                0.88373,                0.52275,                0.32158,                0.81934,             0.00083251,             0.00083251,             0.00083251
                     88,                0.53616,                0.37516,                0.83428,                0.97377,                0.99973,                0.98969,                0.89138,                0.52106,                0.33567,                 0.8202,             0.00083161,             0.00083161,             0.00083161
                     89,                0.53042,                0.56318,                0.83081,                0.97105,                0.99878,                0.98827,                 0.8862,                0.53334,                 0.3478,                0.82729,             0.00083071,             0.00083071,             0.00083071
                     90,                0.52723,                0.36843,                0.81681,                0.97409,                0.98952,                 0.9898,                0.88115,                0.54297,                 0.3411,                0.83141,             0.00082981,             0.00082981,             0.00082981
                     91,                0.53511,                0.37577,                0.82948,                0.98673,                0.98934,                0.99429,                 0.8839,                 0.5542,                0.32065,                0.82881,             0.00082891,             0.00082891,             0.00082891
                     92,                 0.5336,                 0.3637,                0.81973,                0.98618,                 0.9955,                  0.989,                0.87088,                0.55909,                0.32974,                0.83939,             0.00082801,             0.00082801,             0.00082801
                     93,                0.52928,                0.37842,                0.83327,                0.98666,                      1,                 0.9935,                0.87605,                0.54815,                0.33139,                0.82905,             0.00082711,             0.00082711,             0.00082711
                     94,                0.54826,                0.38262,                0.83242,                0.98653,                0.99553,                0.99243,                0.88947,                  0.519,                0.31825,                0.81668,             0.00082621,             0.00082621,             0.00082621
                     95,                0.52367,                0.36183,                0.83227,                0.98711,                0.99975,                0.99279,                0.88828,                0.52184,                0.32669,                0.81908,             0.00082531,             0.00082531,             0.00082531
                     96,                0.51415,                0.35837,                0.83024,                0.98816,                0.99562,                0.99129,                0.88571,                0.52724,                 0.3229,                 0.8227,             0.00082441,             0.00082441,             0.00082441
